Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-25;01:00;00:00–01:00;0,110;0,003;0,746
2026-02-25;02:00;01:00–02:00;0,071;0,001;0,678
2026-02-25;03:00;02:00–03:00;0,104;0,000;1,234
2026-02-25;04:00;03:00–04:00;0,188;0,000;1,683
2026-02-25;05:00;04:00–05:00;0,305;0,025;1,996
2026-02-25;06:00;05:00–06:00;0,401;0,020;1,845
2026-02-25;07:00;06:00–07:00;0,640;0,026;2,860
2026-02-25;08:00;07:00–08:00;0,656;0,013;3,388
2026-02-25;09:00;08:00–09:00;0,913;0,068;4,055
2026-02-25;10:00;09:00–10:00;1,578;0,122;4,374
2026-02-25;11:00;10:00–11:00;2,042;0,153;4,234
2026-02-25;12:00;11:00–12:00;2,741;0,901;4,647
2026-02-25;13:00;12:00–13:00;2,724;0,801;4,704
2026-02-25;14:00;13:00–14:00;2,797;0,758;4,498
2026-02-25;15:00;14:00–15:00;1,978;0,213;4,178
2026-02-25;16:00;15:00–16:00;1,825;0,186;4,021
2026-02-25;17:00;16:00–17:00;1,265;0,067;3,688
2026-02-25;18:00;17:00–18:00;0,914;0,013;2,905
2026-02-25;19:00;18:00–19:00;0,868;0,042;3,298
2026-02-25;20:00;19:00–20:00;0,858;0,007;3,132
2026-02-25;21:00;20:00–21:00;1,458;0,014;3,715
2026-02-25;22:00;21:00–22:00;2,008;0,189;4,784
2026-02-25;23:00;22:00–23:00;3,094;0,215;4,961
2026-02-25;24:00;23:00–24:00;3,952;0,656;4,979
