Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-19;01:00;00:00–01:00;3,296;1,429;4,921
2026-02-19;02:00;01:00–02:00;3,308;1,215;4,960
2026-02-19;03:00;02:00–03:00;3,285;1,262;5,000
2026-02-19;04:00;03:00–04:00;3,210;1,318;4,981
2026-02-19;05:00;04:00–05:00;2,928;1,055;4,939
2026-02-19;06:00;05:00–06:00;2,925;1,118;4,966
2026-02-19;07:00;06:00–07:00;2,935;1,194;4,908
2026-02-19;08:00;07:00–08:00;2,841;1,123;4,778
2026-02-19;09:00;08:00–09:00;2,440;1,023;4,772
2026-02-19;10:00;09:00–10:00;3,036;1,164;4,857
2026-02-19;11:00;10:00–11:00;3,361;1,510;4,713
2026-02-19;12:00;11:00–12:00;2,927;1,101;4,779
2026-02-19;13:00;12:00–13:00;2,667;0,619;4,289
2026-02-19;14:00;13:00–14:00;1,803;0,261;3,647
2026-02-19;15:00;14:00–15:00;1,351;0,230;3,436
2026-02-19;16:00;15:00–16:00;1,168;0,136;3,275
2026-02-19;17:00;16:00–17:00;1,122;0,072;3,428
2026-02-19;18:00;17:00–18:00;0,954;0,002;3,379
2026-02-19;19:00;18:00–19:00;0,866;0,025;2,949
2026-02-19;20:00;19:00–20:00;0,500;0,014;2,584
2026-02-19;21:00;20:00–21:00;0,533;0,000;2,795
2026-02-19;22:00;21:00–22:00;0,205;0,000;1,794
2026-02-19;23:00;22:00–23:00;0,501;0,024;2,454
2026-02-19;24:00;23:00–24:00;0,748;0,008;2,514
