Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-16;01:00;00:00–01:00;4,148;2,272;4,910
2026-02-16;02:00;01:00–02:00;3,978;1,892;4,917
2026-02-16;03:00;02:00–03:00;3,849;1,805;4,938
2026-02-16;04:00;03:00–04:00;3,350;1,578;4,932
2026-02-16;05:00;04:00–05:00;2,995;0,954;4,799
2026-02-16;06:00;05:00–06:00;2,892;1,167;4,873
2026-02-16;07:00;06:00–07:00;2,579;0,848;4,813
2026-02-16;08:00;07:00–08:00;2,847;0,768;4,829
2026-02-16;09:00;08:00–09:00;2,521;0,570;4,829
2026-02-16;10:00;09:00–10:00;3,700;1,608;4,881
2026-02-16;11:00;10:00–11:00;3,655;1,415;4,880
2026-02-16;12:00;11:00–12:00;3,612;1,489;4,839
2026-02-16;13:00;12:00–13:00;4,321;2,313;4,869
2026-02-16;14:00;13:00–14:00;3,639;1,474;4,768
2026-02-16;15:00;14:00–15:00;3,620;1,184;4,843
2026-02-16;16:00;15:00–16:00;3,668;1,192;4,939
2026-02-16;17:00;16:00–17:00;3,577;1,165;4,980
2026-02-16;18:00;17:00–18:00;4,250;1,996;4,968
2026-02-16;19:00;18:00–19:00;4,311;2,107;5,000
2026-02-16;20:00;19:00–20:00;4,614;2,330;4,995
2026-02-16;21:00;20:00–21:00;4,094;1,653;4,968
2026-02-16;22:00;21:00–22:00;3,850;1,696;4,972
2026-02-16;23:00;22:00–23:00;3,889;1,663;4,965
2026-02-16;24:00;23:00–24:00;3,192;1,429;4,873
