Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-11;01:00;00:00–01:00;4,801;4,146;4,986
2026-02-11;02:00;01:00–02:00;4,820;3,331;4,989
2026-02-11;03:00;02:00–03:00;4,763;2,517;4,984
2026-02-11;04:00;03:00–04:00;4,051;0,941;4,970
2026-02-11;05:00;04:00–05:00;3,093;0,320;4,960
2026-02-11;06:00;05:00–06:00;1,766;0,111;4,655
2026-02-11;07:00;06:00–07:00;0,359;0,003;2,860
2026-02-11;08:00;07:00–08:00;0,223;0,005;2,097
2026-02-11;09:00;08:00–09:00;0,157;0,003;1,132
2026-02-11;10:00;09:00–10:00;0,158;0,000;1,326
2026-02-11;11:00;10:00–11:00;0,227;0,000;1,845
2026-02-11;12:00;11:00–12:00;0,911;0,037;4,199
2026-02-11;13:00;12:00–13:00;1,452;0,084;4,721
2026-02-11;14:00;13:00–14:00;1,959;0,090;4,724
2026-02-11;15:00;14:00–15:00;1,593;0,078;4,593
2026-02-11;16:00;15:00–16:00;3,080;0,667;4,647
2026-02-11;17:00;16:00–17:00;3,553;0,652;4,955
2026-02-11;18:00;17:00–18:00;4,687;3,224;4,986
2026-02-11;19:00;18:00–19:00;4,906;4,140;4,999
2026-02-11;20:00;19:00–20:00;4,854;4,391;4,992
2026-02-11;21:00;20:00–21:00;4,889;4,625;4,989
2026-02-11;22:00;21:00–22:00;4,842;4,129;4,992
2026-02-11;23:00;22:00–23:00;4,610;3,567;4,987
2026-02-11;24:00;23:00–24:00;4,284;2,683;4,983
