Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-12;01:00;00:00–01:00;3,901;1,989;4,976
2026-02-12;02:00;01:00–02:00;3,626;1,361;4,966
2026-02-12;03:00;02:00–03:00;3,290;1,055;4,968
2026-02-12;04:00;03:00–04:00;3,059;0,915;4,965
2026-02-12;05:00;04:00–05:00;2,894;0,539;4,731
2026-02-12;06:00;05:00–06:00;2,452;0,362;4,538
2026-02-12;07:00;06:00–07:00;1,726;0,151;4,120
2026-02-12;08:00;07:00–08:00;0,846;0,043;3,241
2026-02-12;09:00;08:00–09:00;0,278;0,009;2,515
2026-02-12;10:00;09:00–10:00;0,165;0,000;1,503
2026-02-12;11:00;10:00–11:00;0,117;0,027;1,019
2026-02-12;12:00;11:00–12:00;0,117;0,024;0,766
2026-02-12;13:00;12:00–13:00;0,068;0,000;0,535
2026-02-12;14:00;13:00–14:00;0,060;0,000;0,370
2026-02-12;15:00;14:00–15:00;0,066;0,000;0,398
2026-02-12;16:00;15:00–16:00;0,141;0,050;0,631
2026-02-12;17:00;16:00–17:00;0,267;0,029;0,974
2026-02-12;18:00;17:00–18:00;0,361;0,032;1,122
2026-02-12;19:00;18:00–19:00;0,559;0,009;1,472
2026-02-12;20:00;19:00–20:00;0,787;0,044;1,740
2026-02-12;21:00;20:00–21:00;1,083;0,077;2,360
2026-02-12;22:00;21:00–22:00;1,201;0,022;3,356
2026-02-12;23:00;22:00–23:00;0,875;0,027;2,958
2026-02-12;24:00;23:00–24:00;0,543;0,025;2,580
