Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-13;01:00;00:00–01:00;0,315;0,000;2,562
2026-02-13;02:00;01:00–02:00;0,205;0,001;2,119
2026-02-13;03:00;02:00–03:00;0,115;0,011;1,465
2026-02-13;04:00;03:00–04:00;0,049;0,000;0,989
2026-02-13;05:00;04:00–05:00;0,046;0,000;0,559
2026-02-13;06:00;05:00–06:00;0,096;0,021;0,411
2026-02-13;07:00;06:00–07:00;0,115;0,027;0,473
2026-02-13;08:00;07:00–08:00;0,127;0,028;0,408
2026-02-13;09:00;08:00–09:00;0,112;0,026;0,404
2026-02-13;10:00;09:00–10:00;0,079;0,003;0,488
2026-02-13;11:00;10:00–11:00;0,115;0,026;0,505
2026-02-13;12:00;11:00–12:00;0,150;0,054;0,732
2026-02-13;13:00;12:00–13:00;0,088;0,017;0,619
2026-02-13;14:00;13:00–14:00;0,066;0,000;0,669
2026-02-13;15:00;14:00–15:00;0,107;0,010;0,730
2026-02-13;16:00;15:00–16:00;0,105;0,006;0,650
2026-02-13;17:00;16:00–17:00;0,120;0,014;0,791
2026-02-13;18:00;17:00–18:00;0,143;0,026;0,888
2026-02-13;19:00;18:00–19:00;0,190;0,031;1,153
2026-02-13;20:00;19:00–20:00;0,293;0,011;1,789
2026-02-13;21:00;20:00–21:00;0,622;0,009;2,725
2026-02-13;22:00;21:00–22:00;0,988;0,010;3,449
2026-02-13;23:00;22:00–23:00;1,977;0,054;4,138
2026-02-13;24:00;23:00–24:00;2,350;0,286;4,638
