Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-18;01:00;00:00–01:00;4,239;2,462;4,995
2026-02-18;02:00;01:00–02:00;3,968;2,400;4,970
2026-02-18;03:00;02:00–03:00;4,141;2,625;4,978
2026-02-18;04:00;03:00–04:00;4,192;2,759;4,984
2026-02-18;05:00;04:00–05:00;4,240;2,580;4,949
2026-02-18;06:00;05:00–06:00;4,104;2,562;4,949
2026-02-18;07:00;06:00–07:00;4,098;2,450;4,996
2026-02-18;08:00;07:00–08:00;4,220;2,845;4,949
2026-02-18;09:00;08:00–09:00;4,258;2,738;4,968
2026-02-18;10:00;09:00–10:00;4,676;3,256;4,984
2026-02-18;11:00;10:00–11:00;4,934;4,439;5,000
2026-02-18;12:00;11:00–12:00;4,927;4,595;5,000
2026-02-18;13:00;12:00–13:00;4,845;4,697;4,942
2026-02-18;14:00;13:00–14:00;4,915;4,824;4,994
2026-02-18;15:00;14:00–15:00;4,909;4,796;4,992
2026-02-18;16:00;15:00–16:00;4,909;4,726;4,992
2026-02-18;17:00;16:00–17:00;4,803;3,591;4,972
2026-02-18;18:00;17:00–18:00;4,843;3,232;5,000
2026-02-18;19:00;18:00–19:00;4,782;3,030;4,990
2026-02-18;20:00;19:00–20:00;4,048;1,776;4,996
2026-02-18;21:00;20:00–21:00;4,375;2,120;4,962
2026-02-18;22:00;21:00–22:00;3,394;1,504;5,000
2026-02-18;23:00;22:00–23:00;3,393;1,409;4,962
2026-02-18;24:00;23:00–24:00;3,391;1,543;4,887
