Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-22;01:00;00:00–01:00;2,353;0,372;4,706
2026-02-22;02:00;01:00–02:00;1,853;0,204;4,534
2026-02-22;03:00;02:00–03:00;1,095;0,060;4,065
2026-02-22;04:00;03:00–04:00;0,848;0,009;3,449
2026-02-22;05:00;04:00–05:00;0,630;0,013;2,633
2026-02-22;06:00;05:00–06:00;0,134;0,010;1,360
2026-02-22;07:00;06:00–07:00;0,092;0,007;0,622
2026-02-22;08:00;07:00–08:00;0,069;0,000;0,490
2026-02-22;09:00;08:00–09:00;0,128;0,028;0,732
2026-02-22;10:00;09:00–10:00;0,312;0,019;1,788
2026-02-22;11:00;10:00–11:00;1,250;0,095;2,988
2026-02-22;12:00;11:00–12:00;3,159;0,837;4,842
2026-02-22;13:00;12:00–13:00;4,006;2,063;4,911
2026-02-22;14:00;13:00–14:00;4,562;3,169;4,963
2026-02-22;15:00;14:00–15:00;4,742;3,538;4,971
2026-02-22;16:00;15:00–16:00;4,805;3,449;4,988
2026-02-22;17:00;16:00–17:00;4,770;3,003;4,997
2026-02-22;18:00;17:00–18:00;4,502;2,223;4,977
2026-02-22;19:00;18:00–19:00;4,598;2,317;4,995
2026-02-22;20:00;19:00–20:00;4,125;1,522;4,958
2026-02-22;21:00;20:00–21:00;2,930;0,773;4,856
2026-02-22;22:00;21:00–22:00;2,008;0,365;4,499
2026-02-22;23:00;22:00–23:00;1,615;0,146;4,024
2026-02-22;24:00;23:00–24:00;1,625;0,060;4,429
