Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-09;01:00;00:00–01:00;4,873;4,788;4,963
2026-02-09;02:00;01:00–02:00;4,936;4,861;4,992
2026-02-09;03:00;02:00–03:00;4,928;4,848;4,990
2026-02-09;04:00;03:00–04:00;4,927;4,846;4,986
2026-02-09;05:00;04:00–05:00;4,917;4,838;4,985
2026-02-09;06:00;05:00–06:00;4,930;4,845;4,990
2026-02-09;07:00;06:00–07:00;4,934;4,855;4,995
2026-02-09;08:00;07:00–08:00;4,873;4,786;4,960
2026-02-09;09:00;08:00–09:00;4,947;4,864;5,000
2026-02-09;10:00;09:00–10:00;4,945;4,859;5,000
2026-02-09;11:00;10:00–11:00;4,918;4,827;5,000
2026-02-09;12:00;11:00–12:00;4,908;4,808;4,972
2026-02-09;13:00;12:00–13:00;4,901;4,791;4,992
2026-02-09;14:00;13:00–14:00;4,887;4,787;4,976
2026-02-09;15:00;14:00–15:00;4,902;4,803;4,980
2026-02-09;16:00;15:00–16:00;4,870;4,610;4,963
2026-02-09;17:00;16:00–17:00;4,872;4,030;4,973
2026-02-09;18:00;17:00–18:00;4,838;3,104;4,995
2026-02-09;19:00;18:00–19:00;4,809;2,420;4,988
2026-02-09;20:00;19:00–20:00;4,562;1,535;5,000
2026-02-09;21:00;20:00–21:00;4,462;1,175;5,000
2026-02-09;22:00;21:00–22:00;2,420;0,320;5,000
2026-02-09;23:00;22:00–23:00;2,011;0,155;4,793
2026-02-09;24:00;23:00–24:00;1,465;0,023;3,991
