Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-02;01:00;00:00–01:00;0,849;0,069;3,206
2026-02-02;02:00;01:00–02:00;0,748;0,081;3,613
2026-02-02;03:00;02:00–03:00;0,875;0,124;3,817
2026-02-02;04:00;03:00–04:00;1,232;0,227;4,266
2026-02-02;05:00;04:00–05:00;2,077;0,526;4,475
2026-02-02;06:00;05:00–06:00;2,328;1,184;4,651
2026-02-02;07:00;06:00–07:00;2,413;1,290;4,683
2026-02-02;08:00;07:00–08:00;2,587;1,262;4,660
2026-02-02;09:00;08:00–09:00;2,902;1,276;4,809
2026-02-02;10:00;09:00–10:00;2,862;1,454;4,886
2026-02-02;11:00;10:00–11:00;3,870;1,848;4,940
2026-02-02;12:00;11:00–12:00;4,450;2,808;4,951
2026-02-02;13:00;12:00–13:00;4,649;3,497;4,974
2026-02-02;14:00;13:00–14:00;4,718;3,744;4,984
2026-02-02;15:00;14:00–15:00;4,680;3,574;4,976
2026-02-02;16:00;15:00–16:00;4,378;2,460;4,967
2026-02-02;17:00;16:00–17:00;3,859;1,855;4,954
2026-02-02;18:00;17:00–18:00;3,066;1,399;4,968
2026-02-02;19:00;18:00–19:00;2,907;0,765;4,758
2026-02-02;20:00;19:00–20:00;1,937;0,294;4,051
2026-02-02;21:00;20:00–21:00;1,467;0,106;3,680
2026-02-02;22:00;21:00–22:00;1,208;0,074;3,312
2026-02-02;23:00;22:00–23:00;1,342;0,119;3,525
2026-02-02;24:00;23:00–24:00;1,191;0,098;3,382
