Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-26;01:00;00:00–01:00;3,925;0,972;4,984
2026-02-26;02:00;01:00–02:00;4,062;1,692;4,970
2026-02-26;03:00;02:00–03:00;4,528;2,712;4,979
2026-02-26;04:00;03:00–04:00;4,342;2,812;4,988
2026-02-26;05:00;04:00–05:00;4,240;2,127;4,984
2026-02-26;06:00;05:00–06:00;3,226;1,403;4,928
2026-02-26;07:00;06:00–07:00;3,247;0,535;4,916
2026-02-26;08:00;07:00–08:00;1,993;0,137;4,681
2026-02-26;09:00;08:00–09:00;1,609;0,098;4,743
2026-02-26;10:00;09:00–10:00;0,881;0,035;4,466
2026-02-26;11:00;10:00–11:00;1,262;0,049;4,010
2026-02-26;12:00;11:00–12:00;1,769;0,181;4,478
2026-02-26;13:00;12:00–13:00;1,597;0,091;4,490
2026-02-26;14:00;13:00–14:00;2,195;0,134;4,335
2026-02-26;15:00;14:00–15:00;2,370;0,187;4,088
2026-02-26;16:00;15:00–16:00;2,562;0,508;4,449
2026-02-26;17:00;16:00–17:00;2,591;0,978;4,394
2026-02-26;18:00;17:00–18:00;2,692;0,892;4,652
2026-02-26;19:00;18:00–19:00;2,979;1,067;4,706
2026-02-26;20:00;19:00–20:00;3,327;1,150;4,717
2026-02-26;21:00;20:00–21:00;3,872;2,120;4,958
2026-02-26;22:00;21:00–22:00;3,738;1,995;4,936
2026-02-26;23:00;22:00–23:00;3,820;2,301;4,935
2026-02-26;24:00;23:00–24:00;3,740;1,888;4,947
