Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-28;01:00;00:00–01:00;2,864;0,897;4,742
2026-02-28;02:00;01:00–02:00;2,745;0,891;4,827
2026-02-28;03:00;02:00–03:00;2,969;1,193;4,812
2026-02-28;04:00;03:00–04:00;3,271;1,628;4,859
2026-02-28;05:00;04:00–05:00;3,605;2,159;4,838
2026-02-28;06:00;05:00–06:00;4,007;2,772;4,852
2026-02-28;07:00;06:00–07:00;4,134;3,021;4,853
2026-02-28;08:00;07:00–08:00;4,040;2,950;4,834
2026-02-28;09:00;08:00–09:00;3,800;2,656;4,845
2026-02-28;10:00;09:00–10:00;3,870;2,625;4,805
2026-02-28;11:00;10:00–11:00;3,975;2,697;4,838
2026-02-28;12:00;11:00–12:00;4,013;2,614;4,876
2026-02-28;13:00;12:00–13:00;4,122;2,700;4,891
2026-02-28;14:00;13:00–14:00;4,016;2,711;4,894
2026-02-28;15:00;14:00–15:00;3,883;2,576;4,875
2026-02-28;16:00;15:00–16:00;3,725;2,291;4,833
2026-02-28;17:00;16:00–17:00;3,376;1,677;4,800
2026-02-28;18:00;17:00–18:00;3,074;1,360;4,787
2026-02-28;19:00;18:00–19:00;2,610;0,974;4,595
2026-02-28;20:00;19:00–20:00;2,940;1,142;4,455
2026-02-28;21:00;20:00–21:00;2,910;0,733;4,215
2026-02-28;22:00;21:00–22:00;1,999;0,174;4,003
2026-02-28;23:00;22:00–23:00;1,655;0,117;3,971
2026-02-28;24:00;23:00–24:00;1,220;0,073;3,150
