Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-10;01:00;00:00–01:00;1,390;0,071;3,802
2026-02-10;02:00;01:00–02:00;0,972;0,029;3,756
2026-02-10;03:00;02:00–03:00;0,621;0,021;3,731
2026-02-10;04:00;03:00–04:00;0,703;0,017;3,424
2026-02-10;05:00;04:00–05:00;0,563;0,010;2,919
2026-02-10;06:00;05:00–06:00;0,268;0,000;2,421
2026-02-10;07:00;06:00–07:00;0,548;0,015;3,826
2026-02-10;08:00;07:00–08:00;0,571;0,013;3,553
2026-02-10;09:00;08:00–09:00;0,530;0,017;3,691
2026-02-10;10:00;09:00–10:00;0,703;0,014;3,929
2026-02-10;11:00;10:00–11:00;0,758;0,000;3,436
2026-02-10;12:00;11:00–12:00;0,804;0,024;3,075
2026-02-10;13:00;12:00–13:00;0,966;0,020;3,216
2026-02-10;14:00;13:00–14:00;1,287;0,078;3,685
2026-02-10;15:00;14:00–15:00;1,197;0,049;3,864
2026-02-10;16:00;15:00–16:00;1,016;0,009;3,839
2026-02-10;17:00;16:00–17:00;0,628;0,000;3,633
2026-02-10;18:00;17:00–18:00;0,630;0,004;3,482
2026-02-10;19:00;18:00–19:00;0,569;0,001;3,054
2026-02-10;20:00;19:00–20:00;1,509;0,045;3,811
2026-02-10;21:00;20:00–21:00;1,679;0,111;4,566
2026-02-10;22:00;21:00–22:00;2,834;0,357;4,873
2026-02-10;23:00;22:00–23:00;4,321;2,230;4,954
2026-02-10;24:00;23:00–24:00;4,829;3,580;4,981
