Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-01;01:00;00:00–01:00;0,048;0,000;0,493
2026-02-01;02:00;01:00–02:00;0,086;0,006;0,396
2026-02-01;03:00;02:00–03:00;0,088;0,000;0,367
2026-02-01;04:00;03:00–04:00;0,096;0,010;0,526
2026-02-01;05:00;04:00–05:00;0,072;0,000;0,518
2026-02-01;06:00;05:00–06:00;0,092;0,010;0,392
2026-02-01;07:00;06:00–07:00;0,098;0,001;0,459
2026-02-01;08:00;07:00–08:00;0,066;0,000;0,588
2026-02-01;09:00;08:00–09:00;0,137;0,008;1,341
2026-02-01;10:00;09:00–10:00;0,222;0,007;2,111
2026-02-01;11:00;10:00–11:00;0,514;0,000;3,025
2026-02-01;12:00;11:00–12:00;0,697;0,000;3,412
2026-02-01;13:00;12:00–13:00;1,019;0,058;3,725
2026-02-01;14:00;13:00–14:00;1,444;0,138;3,612
2026-02-01;15:00;14:00–15:00;1,447;0,234;3,583
2026-02-01;16:00;15:00–16:00;1,652;0,069;3,441
2026-02-01;17:00;16:00–17:00;1,516;0,069;3,621
2026-02-01;18:00;17:00–18:00;1,358;0,047;3,571
2026-02-01;19:00;18:00–19:00;1,260;0,045;3,245
2026-02-01;20:00;19:00–20:00;1,153;0,050;3,184
2026-02-01;21:00;20:00–21:00;1,059;0,069;3,292
2026-02-01;22:00;21:00–22:00;0,903;0,060;3,337
2026-02-01;23:00;22:00–23:00;0,922;0,084;3,407
2026-02-01;24:00;23:00–24:00;0,796;0,040;2,962
