Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-21;01:00;00:00–01:00;3,918;1,742;4,882
2026-02-21;02:00;01:00–02:00;3,600;1,535;4,883
2026-02-21;03:00;02:00–03:00;3,578;1,623;4,928
2026-02-21;04:00;03:00–04:00;3,167;1,357;4,898
2026-02-21;05:00;04:00–05:00;2,880;0,901;4,721
2026-02-21;06:00;05:00–06:00;2,660;0,609;4,704
2026-02-21;07:00;06:00–07:00;2,353;0,289;4,711
2026-02-21;08:00;07:00–08:00;2,147;0,212;4,515
2026-02-21;09:00;08:00–09:00;1,490;0,110;4,255
2026-02-21;10:00;09:00–10:00;0,685;0,000;2,904
2026-02-21;11:00;10:00–11:00;0,350;0,004;3,043
2026-02-21;12:00;11:00–12:00;1,097;0,049;4,344
2026-02-21;13:00;12:00–13:00;1,242;0,048;4,684
2026-02-21;14:00;13:00–14:00;1,579;0,152;4,704
2026-02-21;15:00;14:00–15:00;2,090;0,438;4,798
2026-02-21;16:00;15:00–16:00;2,067;0,537;4,594
2026-02-21;17:00;16:00–17:00;2,433;0,929;4,481
2026-02-21;18:00;17:00–18:00;2,677;0,606;4,334
2026-02-21;19:00;18:00–19:00;1,863;0,252;4,025
2026-02-21;20:00;19:00–20:00;2,409;0,388;4,257
2026-02-21;21:00;20:00–21:00;2,143;0,269;4,671
2026-02-21;22:00;21:00–22:00;2,475;0,286;4,919
2026-02-21;23:00;22:00–23:00;2,625;0,516;4,803
2026-02-21;24:00;23:00–24:00;2,609;0,543;4,712
