Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-03;01:00;00:00–01:00;1,331;0,115;3,633
2026-02-03;02:00;01:00–02:00;1,100;0,091;4,044
2026-02-03;03:00;02:00–03:00;1,272;0,092;4,265
2026-02-03;04:00;03:00–04:00;1,440;0,086;4,470
2026-02-03;05:00;04:00–05:00;1,954;0,090;4,519
2026-02-03;06:00;05:00–06:00;1,021;0,026;3,942
2026-02-03;07:00;06:00–07:00;0,742;0,040;3,338
2026-02-03;08:00;07:00–08:00;0,486;0,010;2,894
2026-02-03;09:00;08:00–09:00;0,227;0,013;2,147
2026-02-03;10:00;09:00–10:00;0,180;0,001;1,744
2026-02-03;11:00;10:00–11:00;0,118;0,017;1,224
2026-02-03;12:00;11:00–12:00;0,066;0,000;1,085
2026-02-03;13:00;12:00–13:00;0,062;0,000;0,738
2026-02-03;14:00;13:00–14:00;0,086;0,005;0,688
2026-02-03;15:00;14:00–15:00;0,122;0,003;0,772
2026-02-03;16:00;15:00–16:00;0,231;0,012;1,454
2026-02-03;17:00;16:00–17:00;0,695;0,000;2,584
2026-02-03;18:00;17:00–18:00;1,016;0,035;3,337
2026-02-03;19:00;18:00–19:00;1,315;0,024;3,671
2026-02-03;20:00;19:00–20:00;1,441;0,045;3,809
2026-02-03;21:00;20:00–21:00;1,492;0,038;3,785
2026-02-03;22:00;21:00–22:00;1,393;0,042;3,787
2026-02-03;23:00;22:00–23:00;1,492;0,091;3,693
2026-02-03;24:00;23:00–24:00;1,379;0,035;3,635
