Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-07;01:00;00:00–01:00;4,855;4,147;5,000
2026-02-07;02:00;01:00–02:00;4,598;3,303;4,978
2026-02-07;03:00;02:00–03:00;4,120;2,761;4,907
2026-02-07;04:00;03:00–04:00;3,340;2,001;4,559
2026-02-07;05:00;04:00–05:00;2,399;0,583;4,121
2026-02-07;06:00;05:00–06:00;1,419;0,192;3,783
2026-02-07;07:00;06:00–07:00;0,715;0,068;2,119
2026-02-07;08:00;07:00–08:00;0,214;0,022;1,143
2026-02-07;09:00;08:00–09:00;0,088;0,000;0,673
2026-02-07;10:00;09:00–10:00;0,133;0,010;0,828
2026-02-07;11:00;10:00–11:00;0,323;0,000;1,648
2026-02-07;12:00;11:00–12:00;0,516;0,013;2,881
2026-02-07;13:00;12:00–13:00;0,716;0,080;2,940
2026-02-07;14:00;13:00–14:00;1,001;0,081;2,679
2026-02-07;15:00;14:00–15:00;0,744;0,022;2,184
2026-02-07;16:00;15:00–16:00;0,697;0,040;2,130
2026-02-07;17:00;16:00–17:00;0,337;0,014;1,570
2026-02-07;18:00;17:00–18:00;0,357;0,000;2,074
2026-02-07;19:00;18:00–19:00;0,717;0,021;2,502
2026-02-07;20:00;19:00–20:00;1,298;0,081;3,979
2026-02-07;21:00;20:00–21:00;2,215;0,326;4,417
2026-02-07;22:00;21:00–22:00;2,944;0,691;4,821
2026-02-07;23:00;22:00–23:00;3,393;1,497;4,865
2026-02-07;24:00;23:00–24:00;3,497;1,685;4,890
