Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-06;01:00;00:00–01:00;2,763;1,143;4,742
2026-02-06;02:00;01:00–02:00;2,454;0,698;4,578
2026-02-06;03:00;02:00–03:00;1,752;0,192;4,306
2026-02-06;04:00;03:00–04:00;1,113;0,063;3,614
2026-02-06;05:00;04:00–05:00;0,587;0,015;2,938
2026-02-06;06:00;05:00–06:00;0,204;0,003;2,001
2026-02-06;07:00;06:00–07:00;0,119;0,000;1,583
2026-02-06;08:00;07:00–08:00;0,123;0,001;1,091
2026-02-06;09:00;08:00–09:00;0,262;0,006;2,233
2026-02-06;10:00;09:00–10:00;0,853;0,010;2,875
2026-02-06;11:00;10:00–11:00;1,626;0,054;4,007
2026-02-06;12:00;11:00–12:00;3,519;0,511;4,880
2026-02-06;13:00;12:00–13:00;4,041;1,365;4,981
2026-02-06;14:00;13:00–14:00;4,902;3,120;5,000
2026-02-06;15:00;14:00–15:00;4,886;4,549;4,989
2026-02-06;16:00;15:00–16:00;4,885;4,720;4,986
2026-02-06;17:00;16:00–17:00;4,931;4,781;4,996
2026-02-06;18:00;17:00–18:00;4,909;4,777;4,988
2026-02-06;19:00;18:00–19:00;4,946;4,810;5,000
2026-02-06;20:00;19:00–20:00;4,928;4,810;4,998
2026-02-06;21:00;20:00–21:00;4,904;4,797;4,992
2026-02-06;22:00;21:00–22:00;4,885;4,774;4,989
2026-02-06;23:00;22:00–23:00;4,928;4,815;5,000
2026-02-06;24:00;23:00–24:00;4,895;4,607;4,993
