Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-08;01:00;00:00–01:00;3,352;1,766;4,864
2026-02-08;02:00;01:00–02:00;3,620;1,984;4,862
2026-02-08;03:00;02:00–03:00;3,673;2,064;4,885
2026-02-08;04:00;03:00–04:00;3,513;2,076;4,854
2026-02-08;05:00;04:00–05:00;3,780;1,944;4,786
2026-02-08;06:00;05:00–06:00;3,119;1,141;4,612
2026-02-08;07:00;06:00–07:00;2,493;0,482;4,301
2026-02-08;08:00;07:00–08:00;1,812;0,214;3,797
2026-02-08;09:00;08:00–09:00;0,940;0,060;3,641
2026-02-08;10:00;09:00–10:00;0,573;0,021;3,076
2026-02-08;11:00;10:00–11:00;0,413;0,011;1,943
2026-02-08;12:00;11:00–12:00;0,146;0,025;0,964
2026-02-08;13:00;12:00–13:00;0,068;0,000;0,589
2026-02-08;14:00;13:00–14:00;0,091;0,000;0,582
2026-02-08;15:00;14:00–15:00;0,488;0,020;1,669
2026-02-08;16:00;15:00–16:00;2,520;0,775;4,117
2026-02-08;17:00;16:00–17:00;4,361;2,668;4,970
2026-02-08;18:00;17:00–18:00;4,925;4,687;5,000
2026-02-08;19:00;18:00–19:00;4,934;4,817;5,000
2026-02-08;20:00;19:00–20:00;4,960;4,848;5,000
2026-02-08;21:00;20:00–21:00;4,928;4,822;4,998
2026-02-08;22:00;21:00–22:00;4,931;4,832;5,000
2026-02-08;23:00;22:00–23:00;4,918;4,814;5,000
2026-02-08;24:00;23:00–24:00;4,894;4,788;4,993
