Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-20;01:00;00:00–01:00;1,271;0,022;3,306
2026-02-20;02:00;01:00–02:00;1,101;0,004;3,498
2026-02-20;03:00;02:00–03:00;1,172;0,011;4,157
2026-02-20;04:00;03:00–04:00;1,497;0,018;4,535
2026-02-20;05:00;04:00–05:00;1,966;0,047;4,488
2026-02-20;06:00;05:00–06:00;2,324;0,271;4,429
2026-02-20;07:00;06:00–07:00;2,575;0,321;4,490
2026-02-20;08:00;07:00–08:00;2,522;0,456;4,289
2026-02-20;09:00;08:00–09:00;1,535;0,045;4,057
2026-02-20;10:00;09:00–10:00;1,111;0,022;3,731
2026-02-20;11:00;10:00–11:00;0,777;0,014;2,784
2026-02-20;12:00;11:00–12:00;0,556;0,020;1,935
2026-02-20;13:00;12:00–13:00;0,388;0,030;1,628
2026-02-20;14:00;13:00–14:00;0,275;0,011;1,225
2026-02-20;15:00;14:00–15:00;0,231;0,042;1,290
2026-02-20;16:00;15:00–16:00;0,201;0,000;1,325
2026-02-20;17:00;16:00–17:00;0,240;0,021;2,288
2026-02-20;18:00;17:00–18:00;0,353;0,000;2,897
2026-02-20;19:00;18:00–19:00;0,704;0,000;4,149
2026-02-20;20:00;19:00–20:00;2,230;0,008;4,782
2026-02-20;21:00;20:00–21:00;2,703;0,098;4,984
2026-02-20;22:00;21:00–22:00;3,818;0,772;4,982
2026-02-20;23:00;22:00–23:00;4,111;1,982;4,985
2026-02-20;24:00;23:00–24:00;3,910;1,597;4,960
