Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-24;01:00;00:00–01:00;4,871;4,086;4,984
2026-02-24;02:00;01:00–02:00;4,770;3,552;4,971
2026-02-24;03:00;02:00–03:00;4,568;3,325;4,989
2026-02-24;04:00;03:00–04:00;4,364;3,080;4,952
2026-02-24;05:00;04:00–05:00;4,508;2,835;4,974
2026-02-24;06:00;05:00–06:00;4,161;2,828;4,951
2026-02-24;07:00;06:00–07:00;3,517;2,098;4,814
2026-02-24;08:00;07:00–08:00;3,133;1,538;4,587
2026-02-24;09:00;08:00–09:00;2,577;1,071;4,667
2026-02-24;10:00;09:00–10:00;2,235;0,648;4,398
2026-02-24;11:00;10:00–11:00;2,020;0,539;4,202
2026-02-24;12:00;11:00–12:00;1,880;0,379;4,312
2026-02-24;13:00;12:00–13:00;2,033;0,409;4,516
2026-02-24;14:00;13:00–14:00;1,726;0,354;4,395
2026-02-24;15:00;14:00–15:00;1,638;0,362;4,398
2026-02-24;16:00;15:00–16:00;1,651;0,401;4,397
2026-02-24;17:00;16:00–17:00;1,781;0,288;4,566
2026-02-24;18:00;17:00–18:00;2,141;0,104;4,676
2026-02-24;19:00;18:00–19:00;1,567;0,008;4,158
2026-02-24;20:00;19:00–20:00;1,457;0,015;3,790
2026-02-24;21:00;20:00–21:00;0,826;0,017;3,043
2026-02-24;22:00;21:00–22:00;0,179;0,000;2,127
2026-02-24;23:00;22:00–23:00;0,149;0,018;1,829
2026-02-24;24:00;23:00–24:00;0,120;0,024;0,807
