Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-15;01:00;00:00–01:00;0,151;0,000;1,114
2026-02-15;02:00;01:00–02:00;0,090;0,000;0,666
2026-02-15;03:00;02:00–03:00;0,129;0,014;0,572
2026-02-15;04:00;03:00–04:00;0,097;0,004;0,434
2026-02-15;05:00;04:00–05:00;0,132;0,012;0,628
2026-02-15;06:00;05:00–06:00;0,159;0,016;0,592
2026-02-15;07:00;06:00–07:00;0,258;0,026;0,887
2026-02-15;08:00;07:00–08:00;0,612;0,029;1,941
2026-02-15;09:00;08:00–09:00;1,294;0,127;3,633
2026-02-15;10:00;09:00–10:00;2,469;0,513;4,550
2026-02-15;11:00;10:00–11:00;3,694;1,603;4,896
2026-02-15;12:00;11:00–12:00;4,615;3,154;4,981
2026-02-15;13:00;12:00–13:00;4,828;3,917;4,989
2026-02-15;14:00;13:00–14:00;4,881;4,498;4,984
2026-02-15;15:00;14:00–15:00;4,904;4,591;5,000
2026-02-15;16:00;15:00–16:00;4,904;4,579;5,000
2026-02-15;17:00;16:00–17:00;4,885;4,381;4,994
2026-02-15;18:00;17:00–18:00;4,868;3,978;5,000
2026-02-15;19:00;18:00–19:00;4,905;4,080;5,000
2026-02-15;20:00;19:00–20:00;4,888;3,975;4,991
2026-02-15;21:00;20:00–21:00;4,904;3,803;5,000
2026-02-15;22:00;21:00–22:00;4,763;3,089;4,986
2026-02-15;23:00;22:00–23:00;4,575;2,856;4,968
2026-02-15;24:00;23:00–24:00;4,206;2,470;4,948
