Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-04;01:00;00:00–01:00;1,399;0,024;3,659
2026-02-04;02:00;01:00–02:00;1,091;0,042;3,787
2026-02-04;03:00;02:00–03:00;1,131;0,002;3,761
2026-02-04;04:00;03:00–04:00;1,215;0,056;4,111
2026-02-04;05:00;04:00–05:00;1,203;0,048;4,119
2026-02-04;06:00;05:00–06:00;1,166;0,087;3,966
2026-02-04;07:00;06:00–07:00;1,411;0,130;4,091
2026-02-04;08:00;07:00–08:00;1,542;0,091;3,947
2026-02-04;09:00;08:00–09:00;1,243;0,051;4,046
2026-02-04;10:00;09:00–10:00;1,181;0,112;3,937
2026-02-04;11:00;10:00–11:00;1,003;0,065;3,593
2026-02-04;12:00;11:00–12:00;0,833;0,019;3,503
2026-02-04;13:00;12:00–13:00;0,807;0,041;3,219
2026-02-04;14:00;13:00–14:00;0,704;0,007;2,780
2026-02-04;15:00;14:00–15:00;0,410;0,000;2,657
2026-02-04;16:00;15:00–16:00;0,571;0,000;2,537
2026-02-04;17:00;16:00–17:00;0,662;0,007;2,630
2026-02-04;18:00;17:00–18:00;0,290;0,022;1,675
2026-02-04;19:00;18:00–19:00;0,473;0,003;1,768
2026-02-04;20:00;19:00–20:00;1,198;0,024;2,628
2026-02-04;21:00;20:00–21:00;2,444;0,262;4,264
2026-02-04;22:00;21:00–22:00;3,355;1,081;4,926
2026-02-04;23:00;22:00–23:00;4,652;3,179;4,976
2026-02-04;24:00;23:00–24:00;4,762;3,328;4,989
