Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-14;01:00;00:00–01:00;2,720;0,770;4,704
2026-02-14;02:00;01:00–02:00;3,034;1,194;4,887
2026-02-14;03:00;02:00–03:00;3,358;1,702;4,946
2026-02-14;04:00;03:00–04:00;3,226;1,575;4,921
2026-02-14;05:00;04:00–05:00;3,056;1,058;4,786
2026-02-14;06:00;05:00–06:00;3,024;1,060;4,808
2026-02-14;07:00;06:00–07:00;1,829;0,614;4,449
2026-02-14;08:00;07:00–08:00;1,248;0,158;3,840
2026-02-14;09:00;08:00–09:00;0,661;0,026;3,731
2026-02-14;10:00;09:00–10:00;0,618;0,016;3,614
2026-02-14;11:00;10:00–11:00;0,478;0,000;3,129
2026-02-14;12:00;11:00–12:00;0,704;0,008;3,691
2026-02-14;13:00;12:00–13:00;0,516;0,043;3,289
2026-02-14;14:00;13:00–14:00;0,551;0,010;3,180
2026-02-14;15:00;14:00–15:00;0,444;0,008;2,298
2026-02-14;16:00;15:00–16:00;0,454;0,046;2,209
2026-02-14;17:00;16:00–17:00;0,722;0,008;2,893
2026-02-14;18:00;17:00–18:00;1,245;0,045;3,816
2026-02-14;19:00;18:00–19:00;1,255;0,019;3,432
2026-02-14;20:00;19:00–20:00;1,304;0,016;3,585
2026-02-14;21:00;20:00–21:00;1,211;0,027;3,345
2026-02-14;22:00;21:00–22:00;0,974;0,025;2,482
2026-02-14;23:00;22:00–23:00;0,582;0,020;1,772
2026-02-14;24:00;23:00–24:00;0,438;0,013;1,614
