Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-23;01:00;00:00–01:00;1,349;0,034;3,923
2026-02-23;02:00;01:00–02:00;1,031;0,046;4,024
2026-02-23;03:00;02:00–03:00;0,607;0,009;3,804
2026-02-23;04:00;03:00–04:00;0,252;0,008;2,675
2026-02-23;05:00;04:00–05:00;0,159;0,000;1,631
2026-02-23;06:00;05:00–06:00;0,132;0,027;1,543
2026-02-23;07:00;06:00–07:00;0,083;0,000;0,989
2026-02-23;08:00;07:00–08:00;0,082;0,000;0,862
2026-02-23;09:00;08:00–09:00;0,077;0,000;1,199
2026-02-23;10:00;09:00–10:00;0,089;0,000;1,111
2026-02-23;11:00;10:00–11:00;0,384;0,014;1,645
2026-02-23;12:00;11:00–12:00;0,602;0,047;2,663
2026-02-23;13:00;12:00–13:00;1,206;0,009;3,636
2026-02-23;14:00;13:00–14:00;1,750;0,076;4,215
2026-02-23;15:00;14:00–15:00;2,134;0,196;4,505
2026-02-23;16:00;15:00–16:00;2,545;0,416;4,543
2026-02-23;17:00;16:00–17:00;2,963;0,804;4,749
2026-02-23;18:00;17:00–18:00;3,422;1,249;4,824
2026-02-23;19:00;18:00–19:00;3,745;1,795;4,896
2026-02-23;20:00;19:00–20:00;4,297;2,430;4,912
2026-02-23;21:00;20:00–21:00;4,664;3,048;4,969
2026-02-23;22:00;21:00–22:00;4,599;3,119;4,972
2026-02-23;23:00;22:00–23:00;4,832;3,907;4,981
2026-02-23;24:00;23:00–24:00;4,880;4,101;5,000
