Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-17;01:00;00:00–01:00;3,244;1,343;4,879
2026-02-17;02:00;01:00–02:00;2,768;1,097;4,889
2026-02-17;03:00;02:00–03:00;2,517;0,828;4,861
2026-02-17;04:00;03:00–04:00;2,374;0,271;4,843
2026-02-17;05:00;04:00–05:00;2,043;0,141;4,654
2026-02-17;06:00;05:00–06:00;1,016;0,064;3,411
2026-02-17;07:00;06:00–07:00;0,562;0,013;2,529
2026-02-17;08:00;07:00–08:00;0,617;0,009;1,851
2026-02-17;09:00;08:00–09:00;0,441;0,025;1,799
2026-02-17;10:00;09:00–10:00;0,466;0,010;1,673
2026-02-17;11:00;10:00–11:00;0,590;0,036;2,129
2026-02-17;12:00;11:00–12:00;0,674;0,038;3,455
2026-02-17;13:00;12:00–13:00;0,969;0,037;3,764
2026-02-17;14:00;13:00–14:00;1,290;0,050;3,881
2026-02-17;15:00;14:00–15:00;1,568;0,174;4,135
2026-02-17;16:00;15:00–16:00;2,409;0,437;4,433
2026-02-17;17:00;16:00–17:00;2,365;0,330;4,554
2026-02-17;18:00;17:00–18:00;2,990;0,583;4,803
2026-02-17;19:00;18:00–19:00;3,205;0,901;4,894
2026-02-17;20:00;19:00–20:00;4,064;1,531;4,935
2026-02-17;21:00;20:00–21:00;4,281;1,716;4,976
2026-02-17;22:00;21:00–22:00;4,079;1,663;4,958
2026-02-17;23:00;22:00–23:00;4,048;2,180;4,974
2026-02-17;24:00;23:00–24:00;4,122;2,110;4,946
