Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-05;01:00;00:00–01:00;4,883;3,837;5,000
2026-02-05;02:00;01:00–02:00;4,898;4,141;5,000
2026-02-05;03:00;02:00–03:00;4,912;4,404;5,000
2026-02-05;04:00;03:00–04:00;4,929;4,704;5,000
2026-02-05;05:00;04:00–05:00;4,933;4,812;5,000
2026-02-05;06:00;05:00–06:00;4,933;4,814;5,000
2026-02-05;07:00;06:00–07:00;4,939;4,824;5,000
2026-02-05;08:00;07:00–08:00;4,932;4,811;5,000
2026-02-05;09:00;08:00–09:00;4,925;4,816;4,999
2026-02-05;10:00;09:00–10:00;4,887;4,774;4,989
2026-02-05;11:00;10:00–11:00;4,946;4,837;5,000
2026-02-05;12:00;11:00–12:00;4,930;4,816;4,995
2026-02-05;13:00;12:00–13:00;4,892;4,776;4,984
2026-02-05;14:00;13:00–14:00;4,887;4,740;4,976
2026-02-05;15:00;14:00–15:00;4,902;4,731;4,990
2026-02-05;16:00;15:00–16:00;4,901;4,737;4,992
2026-02-05;17:00;16:00–17:00;4,886;4,707;4,986
2026-02-05;18:00;17:00–18:00;4,950;4,424;5,000
2026-02-05;19:00;18:00–19:00;4,902;4,140;4,996
2026-02-05;20:00;19:00–20:00;4,854;3,789;4,989
2026-02-05;21:00;20:00–21:00;4,811;3,083;5,000
2026-02-05;22:00;21:00–22:00;4,417;2,532;4,961
2026-02-05;23:00;22:00–23:00;3,661;1,601;4,896
2026-02-05;24:00;23:00–24:00;3,021;1,280;4,748
